Participant_ID,Interview_Status,Transcript_Language,Theme_1_Loss_of_Personal_Voice,Theme_2_AI_Crutch_Syndrome,Theme_3_Confidence_vs_Authenticity,Theme_4_Identity_Conflict,Perceived_Accuracy_Gain,Perceived_Agency_Loss,Representative_Learner_Quote
P03,Completed,Persian / English,1,1,1,1,1,1,"It fixed all my grammar mistakes, but it sounds like someone else wrote it."
P07,Completed,Persian / English,1,0,1,1,1,1,"My habitual vocabulary disappeared; the essay became standard academic, not me."
P12,Completed,Persian / English,1,1,0,1,1,1,I felt more like an editor curating suggestions than a writer expressing thoughts.
P14,Completed,Persian / English,0,1,1,0,1,0,"The grammar was flawless, but I could not defend those sophisticated words as mine."
P19,Completed,Persian / English,1,1,1,1,1,1,It stripped away my personal style and conversational cadence.
P22,Completed,Persian / English,1,0,1,1,1,1,I cannot identify with this polished text; it feels fabricated.
P27,Completed,Persian / English,1,1,0,1,1,1,I became a curator of AI choices instead of the original author.
P31,Completed,Persian / English,1,1,1,1,1,1,My Persian writing voice has certain transitions; AI replaced them with generic connectors.
P35,Completed,Persian / English,0,1,1,0,1,0,"I got a better grade, but zero sense of accomplishment or authentic voice."
P41,Completed,Persian / English,1,0,1,1,1,1,My agency as an author was diluted with every revision iteration.
P44,Completed,Persian / English,1,1,0,1,1,1,"The text looks professional, but my unique linguistic identity was compressed."
P48,Completed,Persian / English,1,1,1,1,1,1,It systematically removed my hedging and personal stance markers.
P52,Completed,Persian / English,1,0,1,1,1,1,I felt psychological pressure to accept its sophisticated wording.
P56,Completed,Persian / English,1,1,0,1,1,1,"It is objectively better English, but subjectively not my paper."
P60,Completed,Persian / English,0,1,1,0,1,0,Revision used to be a learning process; now it is just approving AI outputs.
